Symbol,Security                              ,Nasdaq Sectors        ,GICS Sector           ,GICS Sub-Industry                           ,Headquarters Location                        ,Date first added       ,CIK    ,Founded
ROK   ,Rockwell Automation                   ,Industrials           ,Industrials           ,Electrical Components & Equipment           ,"Milwaukee, Wisconsin"                       ,                       ,1024478,1903
DUK   ,Duke Energy                           ,Utilities             ,Utilities             ,Electric Utilities                          ,"Charlotte, North Carolina"                  ,6/30/1976              ,1326160,1904
LOW   ,Lowe's                                ,Consumer Discretionary,Consumer Discretionary,Home Improvement Retail                     ,"Mooresville, North Carolina"                ,2/29/1984              ,60667  ,1904/1946/1959
CHRW  ,C. H. Robinson                        ,Industrials           ,Industrials           ,Air Freight & Logistics                     ,"Eden Prairie, Minnesota"                    ,3/2/2007               ,1043277,1905
LNC   ,Lincoln National                      ,Financials            ,Financials            ,Multi-line Insurance                        ,"Radnor, Pennsylvania"                       ,6/30/1976              ,59558  ,1905
MMC   ,Marsh & McLennan                      ,Financials            ,Financials            ,Insurance Brokers                           ,New York City                                ,8/31/1987              ,62709  ,1905
PCAR  ,Paccar                                ,Industrials           ,Industrials           ,Construction Machinery & Heavy Trucks       ,"Bellevue, Washington"                       ,12/31/1980             ,75362  ,1905
AEP   ,American Electric Power               ,Utilities             ,Utilities             ,Electric Utilities                          ,"Columbus, Ohio"                             ,3/4/1957               ,4904   ,1906
ATO   ,Atmos Energy                          ,Utilities             ,Utilities             ,Gas Utilities                               ,"Dallas, Texas"                              ,2/15/2019              ,731802 ,1906
CBRE  ,CBRE                                  ,Real Estate           ,Real Estate           ,Real Estate Services                        ,"Dallas, Texas"                              ,11/10/2006             ,1138118,1906
HON   ,Honeywell                             ,Industrials           ,Industrials           ,Industrial Conglomerates                    ,"Charlotte, North Carolina"                  ,3/31/1964              ,773840 ,1906
K     ,Kellogg's                             ,Consumer Staples      ,Consumer Staples      ,Packaged Foods & Meats                      ,"Battle Creek, Michigan"                     ,9/11/1989              ,55067  ,1906
OKE   ,Oneok                                 ,Energy                ,Energy                ,Oil & Gas Storage & Transportation          ,"Tulsa, Oklahoma"                            ,3/15/2010              ,1039684,1906
UPS   ,United Parcel Service                 ,Industrials           ,Industrials           ,Air Freight & Logistics                     ,"Sandy Springs, Georgia"                     ,7/22/2002              ,1090727,1907
ALLE  ,Allegion                              ,Industrials           ,Industrials           ,Building Products                           ,"Dublin, Ireland"                            ,12/2/2013              ,1579241,1908
GM    ,General Motors                        ,Consumer Discretionary,Consumer Discretionary,Automobile Manufacturers                    ,"Detroit, Michigan"                          ,6/6/2013               ,1467858,1908
WMB   ,Williams Companies                    ,Energy                ,Energy                ,Oil & Gas Storage & Transportation          ,"Tulsa, Oklahoma"                            ,3/31/1975              ,107263 ,1908
EVRG  ,Evergy                                ,Utilities             ,Utilities             ,Electric Utilities                          ,"Kansas City, Missouri"                      ,6/5/2018               ,1711269,1909
MCO   ,Moody's Corporation                   ,Financials            ,Financials            ,Financial Exchanges & Data                  ,New York City                                ,                       ,1059556,1909
VMC   ,Vulcan Materials                      ,Materials             ,Materials             ,Construction Materials                      ,"Birmingham, Alabama"                        ,6/30/1999              ,1396009,1909
XEL   ,Xcel Energy                           ,Utilities             ,Utilities             ,Multi-Utilities                             ,"Minneapolis, Minnesota"                     ,3/4/1957               ,72903  ,1909
ETN   ,Eaton Corporation                     ,Industrials           ,Industrials           ,Electrical Components & Equipment           ,"Dublin, Ireland"                            ,                       ,1551182,1911
IBM   ,IBM                                   ,Information Technology,Information Technology,IT Consulting & Other Services              ,"Armonk, New York"                           ,3/4/1957               ,51143  ,1911
WHR   ,Whirlpool Corporation                 ,Consumer Discretionary,Consumer Discretionary,Household Appliances                        ,"Benton Harbor, Michigan"                    ,                       ,106640 ,1911
FCX   ,Freeport-McMoRan                      ,Materials             ,Materials             ,Copper                                      ,"Phoenix, Arizona"                           ,                       ,831259 ,1912
ITW   ,Illinois Tool Works                   ,Industrials           ,Industrials           ,Industrial Machinery                        ,"Glenview, Illinois"                         ,2/28/1986              ,49826  ,1912
NI    ,NiSource                              ,Utilities             ,Utilities             ,Multi-Utilities                             ,"Merrillville, Indiana"                      ,                       ,1111711,1912
CLX   ,Clorox                                ,Consumer Staples      ,Consumer Staples      ,Household Products                          ,"Oakland, California"                        ,3/31/1969              ,21076  ,1913
ETR   ,Entergy                               ,Utilities             ,Utilities             ,Electric Utilities                          ,"New Orleans, Louisiana"                     ,3/4/1957               ,65984  ,1913
AOS   ,AO Smith                              ,Industrials           ,Industrials           ,Building Products                           ,"Milwaukee, Wisconsin"                       ,7/26/2017              ,91142  ,1916
BA    ,Boeing Company                        ,Industrials           ,Industrials           ,Aerospace & Defense                         ,"Chicago, Illinois"                          ,3/4/1957               ,12927  ,1916
LNT   ,Alliant Energy                        ,Utilities             ,Utilities             ,Electric Utilities                          ,"Madison, Wisconsin"                         ,7/1/2016               ,352541 ,1917
PH    ,Parker-Hannifin                       ,Industrials           ,Industrials           ,Industrial Machinery                        ,"Cleveland, Ohio"                            ,11/30/1985             ,76334  ,1917
SPGI  ,S&P Global                            ,Financials            ,Financials            ,Financial Exchanges & Data                  ,New York City                                ,                       ,64040  ,1917
CE    ,Celanese                              ,Materials             ,Materials             ,Specialty Chemicals                         ,"Irving, Texas"                              ,12/24/2018             ,1306830,1918
AIG   ,American International Group          ,Financials            ,Financials            ,Property & Casualty Insurance               ,New York City                                ,3/31/1980              ,5272   ,1919
CAG   ,Conagra Brands                        ,Consumer Staples      ,Consumer Staples      ,Packaged Foods & Meats                      ,"Chicago, Illinois"                          ,8/31/1983              ,23217  ,1919
CMI   ,Cummins                               ,Industrials           ,Industrials           ,Industrial Machinery                        ,"Columbus, Indiana"                          ,3/31/1965              ,26172  ,1919
HAL   ,Halliburton                           ,Energy                ,Energy                ,Oil & Gas Equipment & Services              ,"Houston, Texas"                             ,3/4/1957               ,45012  ,1919
HES   ,Hess Corporation                      ,Energy                ,Energy                ,Integrated Oil & Gas                        ,New York City                                ,5/31/1984              ,4447   ,1919
HLT   ,Hilton Worldwide                      ,Consumer Discretionary,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"            ,"Tysons Corner, Virginia"                    ,6/19/2017              ,1585689,1919
EMN   ,Eastman Chemical                      ,Materials             ,Materials             ,Diversified Chemicals                       ,"Kingsport, Tennessee"                       ,1/1/1994               ,915389 ,1920
OXY   ,Occidental Petroleum                  ,Energy                ,Energy                ,Oil & Gas Exploration & Production          ,"Houston, Texas"                             ,12/31/1982             ,797468 ,1920
PPL   ,PPL                                   ,Utilities             ,Utilities             ,Electric Utilities                          ,"Allentown, Pennsylvania"                    ,                       ,922224 ,1920
SNA   ,Snap-on                               ,Industrials           ,Industrials           ,Industrial Machinery                        ,"Kenosha, Wisconsin"                         ,9/30/1982              ,91440  ,1920
NEM   ,Newmont                               ,Materials             ,Materials             ,Gold                                        ,"Denver, Colorado"                           ,6/30/1969              ,1164727,1921
RTX   ,Raytheon Technologies                 ,Industrials           ,Industrials           ,Aerospace & Defense                         ,"Waltham, Massachusetts"                     ,                       ,101829 ,1922
ECL   ,Ecolab                                ,Materials             ,Materials             ,Specialty Chemicals                         ,"Saint Paul, Minnesota"                      ,1/31/1989              ,31462  ,1923
HAS   ,Hasbro                                ,Consumer Discretionary,Consumer Discretionary,Leisure Products                            ,"Pawtucket, Rhode Island"                    ,9/30/1984              ,46080  ,1923
NLSN  ,Nielsen Holdings                      ,Industrials           ,Industrials           ,Research & Consulting Services              ,New York City                                ,7/9/2013               ,1492633,1923
TXT   ,Textron                               ,Industrials           ,Industrials           ,Aerospace & Defense                         ,"Providence, Rhode Island"                   ,12/31/1978             ,217346 ,1923
DIS   ,The Walt Disney Company               ,Communication Services,Communication Services,Movies & Entertainment                      ,"Burbank, California"                        ,6/30/1976              ,1744489,1923
WST   ,West Pharmaceutical Services          ,Health Care           ,Health Care           ,Health Care Supplies                        ,"Exton, Pennsylvania"                        ,5/22/2020              ,105770 ,1923
CAT   ,Caterpillar                           ,Industrials           ,Industrials           ,Construction Machinery & Heavy Trucks       ,"Deerfield, Illinois"                        ,3/4/1957               ,18230  ,1925
GPC   ,Genuine Parts                         ,Consumer Discretionary,Consumer Discretionary,Specialty Stores                            ,"Atlanta, Georgia"                           ,12/31/1973             ,40987  ,1925
SLB   ,Schlumberger                          ,Energy                ,Energy                ,Oil & Gas Equipment & Services              ,"Curaçao, Kingdom of the Netherlands"        ,3/31/1965              ,87347  ,1926
AJG   ,Arthur J. Gallagher & Co.             ,Financials            ,Financials            ,Insurance Brokers                           ,"Rolling Meadows, Illinois"                  ,5/31/2016              ,354190 ,1927
GWW   ,WW Grainger                           ,Industrials           ,Industrials           ,Industrial Machinery                        ,"Lake Forest, Illinois"                      ,6/30/1981              ,277135 ,1927
MAR   ,Marriott International                ,Consumer Discretionary,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"            ,"Bethesda, Maryland"                         ,                       ,1048286,1927
ZBH   ,Zimmer Biomet                         ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Warsaw, Indiana"                            ,8/7/2001               ,1136869,1927
MSI   ,Motorola Solutions                    ,Information Technology,Information Technology,Communications Equipment                    ,"Chicago, Illinois"                          ,                       ,68505  ,1928 (2011)
CTAS  ,Cintas Corporation                    ,Industrials           ,Industrials           ,Diversified Support Services                ,"Mason, Ohio"                                ,3/1/2001               ,723254 ,1929
DAL   ,Delta Air Lines                       ,Industrials           ,Industrials           ,Airlines                                    ,"Atlanta, Georgia"                           ,9/11/2013              ,27904  ,1929
MAS   ,Masco                                 ,Industrials           ,Industrials           ,Building Products                           ,"Livonia, Michigan"                          ,6/30/1981              ,62996  ,1929
AME   ,Ametek                                ,Industrials           ,Industrials           ,Electrical Components & Equipment           ,"Berwyn, Pennsylvania"                       ,9/23/2013              ,1037868,1930
TXN   ,Texas Instruments                     ,Information Technology,Information Technology,Semiconductors                              ,"Dallas, Texas"                              ,                       ,97476  ,1930
ALL   ,Allstate Corp                         ,Financials            ,Financials            ,Property & Casualty Insurance               ,"Northfield Township, Illinois"              ,7/13/1995              ,899051 ,1931
BAX   ,Baxter International                  ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Deerfield, Illinois"                        ,9/30/1972              ,10456  ,1931
AAP   ,Advance Auto Parts                    ,Consumer Discretionary,Consumer Discretionary,Automotive Retail                           ,"Raleigh, North Carolina"                    ,7/9/2015               ,1158449,1932
APH   ,Amphenol Corp                         ,Information Technology,Information Technology,Electronic Components                       ,"Wallingford, Connecticut"                   ,9/30/2008              ,820313 ,1932
HSIC  ,Henry Schein                          ,Health Care           ,Health Care           ,Health Care Distributors                    ,"Melville, New York"                         ,3/17/2015              ,1000228,1932
AAL   ,American Airlines Group               ,Industrials           ,Industrials           ,Airlines                                    ,"Fort Worth, Texas"                          ,3/23/2015              ,6201   ,1934
ODFL  ,Old Dominion Freight Line             ,Industrials           ,Industrials           ,Trucking                                    ,"Thomasville, North Carolina"                ,12/9/2019              ,878927 ,1934
IVZ   ,Invesco                               ,Financials            ,Financials            ,Asset Management & Custody Banks            ,"Atlanta, Georgia"                           ,8/21/2008              ,914208 ,1935
MS    ,Morgan Stanley                        ,Financials            ,Financials            ,Investment Banking & Brokerage              ,New York City                                ,                       ,895421 ,1935
TSN   ,Tyson Foods                           ,Consumer Staples      ,Consumer Staples      ,Packaged Foods & Meats                      ,"Springdale, Arkansas"                       ,                       ,100493 ,1935
PKI   ,PerkinElmer                           ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Waltham, Massachusetts"                     ,5/31/1985              ,31791  ,1937
PGR   ,Progressive Corporation               ,Financials            ,Financials            ,Property & Casualty Insurance               ,"Mayfield Village, Ohio"                     ,8/4/1997               ,80661  ,1937
TROW  ,T. Rowe Price                         ,Financials            ,Financials            ,Asset Management & Custody Banks            ,"Baltimore, Maryland"                        ,                       ,1113169,1937
DRI   ,Darden Restaurants                    ,Consumer Discretionary,Consumer Discretionary,Restaurants                                 ,"Orlando, Florida"                           ,                       ,940944 ,1938
TSCO  ,Tractor Supply Company                ,Consumer Discretionary,Consumer Discretionary,Specialty Stores                            ,"Brentwood, Tennessee"                       ,1/24/2014              ,916365 ,1938
DG    ,Dollar General                        ,Consumer Discretionary,Consumer Discretionary,General Merchandise Stores                  ,"Goodlettsville, Tennessee"                  ,12/3/2012              ,29534  ,1939
HPQ   ,HP                                    ,Information Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California"                      ,12/31/1974             ,47217  ,1939 (2015)
APD   ,Air Products & Chemicals              ,Materials             ,Materials             ,Industrial Gases                            ,"Allentown, Pennsylvania"                    ,4/30/1985              ,2969   ,1940
MCD   ,McDonald's                            ,Consumer Discretionary,Consumer Discretionary,Restaurants                                 ,"Chicago, Illinois"                          ,6/30/1970              ,63908  ,1940
NUE   ,Nucor                                 ,Materials             ,Materials             ,Steel                                       ,"Charlotte, North Carolina"                  ,4/30/1985              ,73309  ,1940
SYK   ,Stryker Corporation                   ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Kalamazoo, Michigan"                        ,12/12/2000             ,310764 ,1941
TFX   ,Teleflex                              ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Wayne, Pennsylvania"                        ,1/18/2019              ,96943  ,1943
STZ   ,Constellation Brands                  ,Consumer Staples      ,Consumer Staples      ,Distillers & Vintners                       ,"Victor, New York"                           ,7/1/2005               ,16918  ,1945
MTD   ,Mettler Toledo                        ,Health Care           ,Health Care           ,Life Sciences Tools & Services              ,"Columbus, Ohio"                             ,9/6/2016               ,1037646,1945
SO    ,Southern Company                      ,Utilities             ,Utilities             ,Electric Utilities                          ,"Atlanta, Georgia"                           ,3/4/1957               ,92122  ,1945
CF    ,CF Industries                         ,Materials             ,Materials             ,Fertilizers & Agricultural Chemicals        ,"Deerfield, Illinois"                        ,8/27/2008              ,1324404,1946
EL    ,Estée Lauder Companies                ,Consumer Staples      ,Consumer Staples      ,Personal Products                           ,New York City                                ,1/5/2006               ,1001250,1946
CRL   ,Charles River Laboratories            ,Health Care           ,Health Care           ,Life Sciences Tools & Services              ,"Wilmington, Massachusetts"                  ,5/14/2021              ,1100682,1947
BEN   ,Franklin Resources                    ,Financials            ,Financials            ,Asset Management & Custody Banks            ,"San Mateo, California"                      ,                       ,38777  ,1947
